No.,X(m),Y(m),高さ(m),周囲長(cm),種類
D877,0,0,3.41,13.8,オオシラビソ
D878,0.28,0.15,1.75,12.7,オオシラビソ
D879,0.5,0.24,6.13,41,オオシラビソ
D880,0.65,0.24,1.65,6.3,オオシラビソ
D881,0.57,1.22,3.85,18.3,オオシラビソ
D882,1.52,1.5,2.96,16.3,オオシラビソ
D883,0.98,1.8,2.33,7.5,オオシラビソ
D884,0.46,1.72,2.56,11.1,オオシラビソ
D885,0.36,1.97,5.6,29.2,オオシラビソ
D886,0.42,2.45,4.66,17.5,オオシラビソ
D887,1.51,2.73,4.66,16,オオシラビソ
D888,2.18,1.9,4.27,15,オオシラビソ
D889,2.8,2.18,7.9,22,オオシラビソ
D890,2.86,2.18,1.23,16,オオシラビソ
D891,3.09,2.41,1.53,16,オオシラビソ
D892,3.32,2.47,4.07,26,オオシラビソ
D893,3.12,2.92,3.17,17,オオシラビソ
D894,2.98,3.1,4.23,20.5,オオシラビソ
D895,2.4,2.82,5.36,26.5,オオシラビソ
D896,2.45,3.18,5.27,24,オオシラビソ
D897,2.77,3.22,1.71,17,オオシラビソ
E947,5,0,6.11,28.3,オオシラビソ
E948,4.53,0.46,1.75,8.1,オオシラビソ
E949,4.86,0.8,4.98,23.6,オオシラビソ
E950,4.11,0.45,1.94,9.1,オオシラビソ
E951,4.41,1.46,3.9,19.8,オオシラビソ
E952,3.92,1.28,4,16.6,オオシラビソ
E953,4.76,1.76,5.57,31,オオシラビソ
E954,5.31,2.84,5.12,18.3,オオシラビソ
E955,3.97,1.6,4.11,24.4,オオシラビソ
E956,4.81,2.88,4.76,25.4,オオシラビソ
E957,5.34,3.7,4.38,10.4,オオシラビソ
E958,3.11,1.89,3.41,11.1,オオシラビソ
E959,2.72,1.25,2.27,10.8,オオシラビソ
D898,0,2.6,5.92,19,ダケカンバ
B986,1.8,6.5,7.45,0.306,
B987,1.5,7.3,5.91,0.125,
B988,2.3,7.4,8.34,0.31,
B989,0.9,7.2,8.96,0.347,
B990,1.8,9.56,9.06,0.453,
B991,1.7,8.09,7.92,0.325,
B992,2.6,7.78,8.05,0.43,
B993,4,7.9,7.73,0.3,
B994,2.6,8.26,6.97,0.25,
B995,4.4,8.48,8.96,0.4,
B996,7.3,7.35,7.66,0.414,
B997,7.3,8.45,8.35,0.545,
B998,9,8.14,9.38,0.382,
B999,9.5,7.38,8,0.233,
B1000,9.8,5.31,8.25,0.228,
B1001,9.99,6.98,8.23,0.174,
B1002,8.7,5.34,7.41,0.273,
